player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Josh Allen,Buffalo Bills,,N/A,N/A,347.49/542.46,4077.16,28.37,12.42,124.41,655.9,11.18,0,0,0,0,392.12,1,1,
Lamar Jackson,Baltimore Ravens,,N/A,N/A,336.84/510.72,4026.58,34.2,9.36,121.21,722.06,4.14,0,0,0,0,380.95,2,2,
Jalen Hurts,Philadelphia Eagles,,N/A,N/A,337.82/499.74,3802.59,24.1,10.2,123.86,582.25,11.14,0,0,0,0,358.25,3,3,
Joe Burrow,Cincinnati Bengals,,N/A,N/A,445.81/652.28,4914.09,36.78,11.69,40.16,174.59,1.86,0,0,0,0,357.39,4,4,
Patrick Mahomes,Kansas City Chiefs,,N/A,N/A,412.88/614.59,4340.85,29.93,12.41,94.92,474.56,3.79,0,0,0,0,348.64,5,5,
Jayden Daniels,Washington Commanders,,N/A,N/A,372.33/549.61,4011.67,28.21,11.53,111.04,548.73,5,0,0,0,0,344.43,6,6,
J.J. McCarthy,Minnesota Vikings,,N/A,N/A,384.46/596.31,4228.74,33.6,12.82,59.49,280.38,3.03,0,0,0,0,332.41,7,7,
Baker Mayfield,Tampa Bay Buccaneers,,N/A,N/A,399.95/580.21,4179.31,34.51,14.4,68.75,305.85,2.69,0,0,0,0,330.22,8,8,
Kyler Murray,Arizona Cardinals,,N/A,N/A,373.99/552.57,3949.43,25.52,11.62,96.42,526.67,6.08,0,0,0,0,329.7,9,9,
Bo Nix,Denver Broncos,,N/A,N/A,375.85/575.02,3915.09,29.42,12.31,90.93,431.63,4.12,0,0,0,0,326.66,10,11,
Justin Herbert,Los Angeles Chargers,,N/A,N/A,373.05/566.97,4117.68,29.04,8.58,71.16,321.8,3.6,0,0,0,0,322.33,11,13,
Brock Purdy,San Francisco 49ers,,N/A,N/A,361.48/551.89,4347.81,29.65,12.76,55.66,255.45,2.38,0,0,0,0,315.98,12,15,
Jared Goff,Detroit Lions,,N/A,N/A,394.88/587.16,4497.74,34.28,11.06,19.53,74.7,0.84,0,0,0,0,315.56,13,16,
C.J. Stroud,Houston Texans,,N/A,N/A,374.87/581.01,4108.03,26.26,11.28,80.86,378.01,3.55,0,0,0,0,310.48,14,18,
Jordan Love,Green Bay Packers,,N/A,N/A,343.86/549.02,4022.19,31.38,12.18,50.8,235.3,2.44,0,0,0,0,307.26,15,19,
Justin Fields,New York Jets,,N/A,N/A,316.32/497.85,3257.38,21.44,12.1,122.37,645.89,5.17,0,0,0,0,292.18,16,21,
Caleb Williams,Chicago Bears,,N/A,N/A,357.3/563.13,3751.5,21.93,10.75,100.76,484.89,3.62,0,0,0,0,289.64,17,22,
Cameron Ward,Tennessee Titans,,N/A,N/A,350.59/533.76,3860.1,22.04,11.48,91.22,431.66,3.35,0,0,0,0,287.53,18,23,
Michael Penix Jr.,Atlanta Falcons,,N/A,N/A,341.81/535.28,3875.45,25.03,11.67,63.86,296.46,2.85,0,0,0,0,285.37,19,24,
Matthew Stafford,Los Angeles Rams,,N/A,N/A,383.03/582.49,4197.16,26.05,12.78,45.24,178,1.79,0,0,0,0,284.45,20,25,
Sam Darnold,Seattle Seahawks,,N/A,N/A,365.82/568.42,3939.96,26.17,16.13,60.84,265.1,2.7,0,0,0,0,282.2,21,26,
Dak Prescott,Dallas Cowboys,,N/A,N/A,388.16/601.38,4213,24,12.21,44.32,206.11,1.86,0,0,0,0,280.48,22,27,
Trevor Lawrence,Jacksonville Jaguars,,N/A,N/A,350.8/555.26,4012.94,22.2,12.43,53.95,255.47,2.48,0,0,0,0,271.37,23,28,
Tua Tagovailoa,Miami Dolphins,,N/A,N/A,401.03/583.29,4124.79,26.32,12.59,18.69,81.5,0.7,0,0,0,0,264.61,24,31,
Russell Wilson,New York Giants,,N/A,N/A,343.58/545.6,3832.29,18.85,10.22,76.07,380.58,1.93,0,0,0,0,262.17,25,32,
Drake Maye,New England Patriots,,N/A,N/A,353.37/533.44,3688.26,20.72,12.05,69.58,338.84,2.44,0,0,0,0,260.14,26,33,
Spencer Rattler,New Orleans Saints,,N/A,N/A,330.24/538.99,3603.32,23.8,11.59,48.02,228.28,2.12,0,0,0,0,258.49,27,34,
Daniel Jones,Indianapolis Colts,,N/A,N/A,336.97/524.51,3340.38,19.64,11.16,73.55,372.94,3.36,0,0,0,0,255.59,28,36,
Geno Smith,Las Vegas Raiders,,N/A,N/A,377.71/552.39,3985.89,20.18,14.02,45.84,217.85,1.66,0,0,0,0,253.9,29,38,
Bryce Young,Carolina Panthers,,N/A,N/A,341.16/541.1,3614.17,18.26,11.53,64.33,310.62,2.83,0,0,0,0,248.02,30,40,
Joe Flacco,Cleveland Browns,,N/A,N/A,386.62/591.69,4401.56,20.01,13.2,17.81,64.47,0.56,0,0,0,0,247.33,31,41,
Aaron Rodgers,Pittsburgh Steelers,,N/A,N/A,341.97/535.84,3668.82,24.33,7.27,0,0,0,0,0,0,0,236.06,32,48,
Mason Rudolph,Pittsburgh Steelers,,N/A,N/A,7.29/11.05,78.34,0.48,0.29,65.01,293.46,2.41,0,0,0,0,40.51,33,269,
Anthony Richardson,Indianapolis Colts,,N/A,N/A,5.89/10.87,74.99,0.53,0.29,4.9,23.87,0.31,0,0,0,0,8.68,34,346,
Kirk Cousins,Atlanta Falcons,,N/A,N/A,7.24/10.88,82,0.51,0.17,0,0,0,0,0,0,0,5.15,35,363,
Jacoby Brissett,Arizona Cardinals,,N/A,N/A,7.06/11.04,75.64,0.43,0.17,0,0,0,0,0,0,0,4.58,36,364,
Mitchell Trubisky,Buffalo Bills,,N/A,N/A,7.2/11.01,75.01,0.42,0.34,0,0,0,0,0,0,0,4.34,37,365,
Cooper Rush,Baltimore Ravens,,N/A,N/A,6.5/10.44,67.32,0.44,0.17,0,0,0,0,0,0,0,4.28,38,366,
Tyrod Taylor,New York Jets,,N/A,N/A,6.71/10.31,71.02,0.4,0.17,0,0,0,0,0,0,0,4.27,39,367,
Kenny Pickett,Las Vegas Raiders,,N/A,N/A,7.26/11.41,76.35,0.32,0.26,0,0,0,0,0,0,0,4.07,40,368,
Teddy Bridgewater,Tampa Bay Buccaneers,,N/A,N/A,5.78/9.03,63.93,0.39,0.26,0,0,0,0,0,0,0,3.86,41,369,
Josh Johnson,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Andy Dalton,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Case Keenum,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Jimmy Garoppolo,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Jameis Winston,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Marcus Mariota,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Taylor Heinicke,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Joshua Dobbs,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Nick Mullens,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Kyle Allen,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Drew Lock,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Gardner Minshew,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Jarrett Stidham,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Brandon Allen,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Mac Jones,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Zach Wilson,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Trey Lance,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Davis Mills,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Sam Ehlinger,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Malik Willis,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Skylar Thompson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Sam Howell,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Jake Browning,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Aidan O'Connell,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Tyson Bagent,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Tanner McKee,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Joe Milton III,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Jaxson Dart,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Tyler Shough,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,
Shedeur Sanders,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,0,0,0,0,0,42,374,